Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;(case) channel;(case) department;(case) group;(case) responsible;concept:instance;concept:name;lifecycle:transition;org:group;Duration
case-10011;Confirmation of receipt-complete;Resource21;2011/10/11 13:45:40.276;Variant 20;20;Internet;General;Group 2;Resource21;task-42933;Confirmation of receipt;complete;Group 1;0.0
case-10011;T02 Check confirmation of receipt-complete;Resource10;2011/10/12 08:26:25.398;Variant 20;20;Internet;General;Group 2;Resource21;task-42935;T02 Check confirmation of receipt;complete;Group 4;67245.122
case-10011;T03 Adjust confirmation of receipt-complete;Resource21;2011/11/24 15:36:51.302;Variant 20;20;Internet;General;Group 2;Resource21;task-42957;T03 Adjust confirmation of receipt;complete;Group 1;3741025.904
case-10011;T02 Check confirmation of receipt-complete;Resource21;2011/11/24 15:37:16.553;Variant 20;20;Internet;General;Group 2;Resource21;task-47958;T02 Check confirmation of receipt;complete;Group 4;25.251
case-10024;Confirmation of receipt-complete;Resource03;2011/10/18 15:53:19.732;Variant 1;1;Internet;General;Group 8;Resource11;task-43229;Confirmation of receipt;complete;EMPTY;0.0
case-10024;T02 Check confirmation of receipt-complete;Resource03;2011/10/18 15:53:38.108;Variant 1;1;Internet;General;Group 8;Resource11;task-43727;T02 Check confirmation of receipt;complete;Group 4;18.376
case-10024;T04 Determine confirmation of receipt-complete;Resource03;2011/10/18 15:53:53.778;Variant 1;1;Internet;General;Group 8;Resource11;task-43729;T04 Determine confirmation of receipt;complete;Group 3;15.67
case-10024;T05 Print and send confirmation of receipt-complete;Resource03;2011/10/18 15:54:06.717;Variant 1;1;Internet;General;Group 8;Resource11;task-43730;T05 Print and send confirmation of receipt;complete;Group 2;12.939
case-10024;T06 Determine necessity of stop advice-complete;Resource03;2011/10/18 15:54:24.121;Variant 1;1;Internet;General;Group 8;Resource11;task-43728;T06 Determine necessity of stop advice;complete;Group 1;17.404
case-10024;T10 Determine necessity to stop indication-complete;Resource03;2011/10/18 15:57:18.847;Variant 1;1;Internet;General;Group 8;Resource11;task-43731;T10 Determine necessity to stop indication;complete;Group 1;174.726
case-10025;Confirmation of receipt-complete;Resource03;2011/10/25 09:27:08.484;Variant 1;1;Internet;General;Group 8;Resource11;task-43231;Confirmation of receipt;complete;EMPTY;0.0
case-10025;T02 Check confirmation of receipt-complete;Resource03;2011/10/25 09:27:27.316;Variant 1;1;Internet;General;Group 8;Resource11;task-44375;T02 Check confirmation of receipt;complete;Group 4;18.832
case-10025;T04 Determine confirmation of receipt-complete;Resource03;2011/10/25 09:27:46.307;Variant 1;1;Internet;General;Group 8;Resource11;task-44377;T04 Determine confirmation of receipt;complete;Group 3;18.991
case-10025;T05 Print and send confirmation of receipt-complete;Resource03;2011/10/25 09:28:00.504;Variant 1;1;Internet;General;Group 8;Resource11;task-44379;T05 Print and send confirmation of receipt;complete;Group 2;14.197
case-10025;T06 Determine necessity of stop advice-complete;Resource03;2011/10/25 09:28:15.484;Variant 1;1;Internet;General;Group 8;Resource11;task-44376;T06 Determine necessity of stop advice;complete;Group 1;14.98
case-10025;T10 Determine necessity to stop indication-complete;Resource03;2011/10/25 09:28:33.002;Variant 1;1;Internet;General;Group 8;Resource11;task-44380;T10 Determine necessity to stop indication;complete;Group 1;17.518
