Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;concept:name;impact;lifecycle:transition;org:group;org:role;organization country;organization involved;product;resource country;Duration
1-165554831;Accepted-In Progress;Tomas;2007/03/20 09:06:25.000;Variant 23;23;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;0.0
1-165554831;Accepted-Wait;Tomas;2009/12/02 14:24:31.000;Variant 23;23;Accepted;Medium;Wait;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;85382286.0
1-165554831;Accepted-In Progress;Tomas;2011/09/03 07:10:53.000;Variant 23;23;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;55269982.0
1-165554831;Accepted-In Progress;Carrie;2012/01/18 08:52:41.000;Variant 23;23;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;China;11842908.0
1-165554831;Completed-Closed;Carrie;2012/01/18 08:52:43.000;Variant 23;23;Completed;Medium;Closed;Org line A2;A2_2;cn;M1 2nd;PROD753;China;2.0
1-172473423;Accepted-In Progress;Tomas;2007/05/10 16:21:54.000;Variant 23;23;Accepted;Low;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;0.0
1-172473423;Accepted-Wait;Tomas;2009/12/02 14:24:33.000;Variant 23;23;Accepted;Low;Wait;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;80949759.0
1-172473423;Accepted-In Progress;Tomas;2011/09/03 07:10:59.000;Variant 23;23;Accepted;Low;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;55269986.0
1-172473423;Accepted-In Progress;Carrie;2012/01/18 08:20:53.000;Variant 23;23;Accepted;Low;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;China;11840994.0
1-172473423;Completed-Closed;Carrie;2012/01/18 08:21:10.000;Variant 23;23;Completed;Low;Closed;Org line A2;A2_2;cn;M1 2nd;PROD753;China;17.0
1-182640781;Accepted-In Progress;Niklas;2007/07/25 14:21:05.000;Variant 37;37;Accepted;Medium;In Progress;Org line A2;A2_2;se;G167 2nd;PROD681;Sweden;0.0
1-182640781;Accepted-Wait;Niklas;2009/12/02 14:24:32.000;Variant 37;37;Accepted;Medium;Wait;Org line A2;A2_2;se;G167 2nd;PROD681;Sweden;74390607.0
1-182640781;Queued-Awaiting Assignment;Niklas;2010/08/25 11:13:01.000;Variant 37;37;Queued;Medium;Awaiting Assignment;Org line A2;A2_2;se;G167 2nd;PROD681;Sweden;22970909.0
