Activity;Case ID;Duration;Event_Nr
Accepted-In Progress;1-165554831;0.0;1
Accepted-Wait;1-165554831;3542904.000000014;2
Accepted-In Progress;1-165554831;90272.0000000021;3
Accepted-In Progress;1-165554831;447133.99999999953;4
Completed-Closed;1-165554831;3024708.999999985;5
Accepted-In Progress;1-172473423;7.3169180716652125e-09;1
Accepted-Wait;1-172473423;0.0;2
Accepted-In Progress;1-172473423;32486833.000000004;3
Accepted-In Progress;1-172473423;82598.0000000033;4
Completed-Closed;1-172473423;76833.00000003606;5
Accepted-In Progress;1-182640781;1.8007479772522898e-08;1
Accepted-Wait;1-182640781;584.9999999980103;2
Queued-Awaiting Assignment;1-182640781;422.999999994667;3
Accepted-In Progress;1-182640781;0.0;4
Accepted-Assigned;1-182640781;263197.0000000043;5
Accepted-In Progress;1-182640781;0.0;6
Completed-Closed;1-182640781;69353.99999998443;7
Accepted-In Progress;1-236817141;32680129.00000002;1
Accepted-Wait;1-236817141;715.9999999974958;2
Queued-Awaiting Assignment;1-236817141;0.0;3
Accepted-In Progress;1-236817141;5285003.999999996;4
Accepted-Assigned;1-236817141;127.0000000102253;5
Accepted-In Progress;1-236817141;92999.99999998433;6
Completed-Closed;1-236817141;1.0000000082820193;7
Accepted-In Progress;1-270427461;0.0;1
Accepted-Wait;1-270427461;2228026.0000000005;2
Accepted-In Progress;1-270427461;6.120664574764409e-09;3
Accepted-In Progress;1-270427461;92999.9999999865;4
Completed-Closed;1-270427461;3623535.0000000345;5
Accepted-In Progress;1-310231291;3.270531151749647e-09;1
Accepted-In Progress;1-310231291;280516.00000000023;2
Completed-Closed;1-310231291;4982405.000000018;3
Accepted-In Progress;1-320604521;53388.00000000423;1
Accepted-Assigned;1-320604521;28.99999997371335;2
Completed-Closed;1-320604521;356.99999997926454;3
Accepted-In Progress;1-322581861;1.7723257238195672e-08;1
Accepted-Assigned;1-322581861;538.0000000042066;2
Completed-Closed;1-322581861;30609337.000000015;3
Accepted-In Progress;1-322980802;5887738.999999998;1
Completed-Closed;1-322980802;6051840.9999999795;2
Accepted-In Progress;1-323264491;0.0;1
Accepted-Assigned;1-323264491;10.000000062918083;2
Completed-Closed;1-323264491;6163654.0000000065;3
Accepted-In Progress;1-327329880;4.365276050832497e-09;1
Accepted-Wait;1-327329880;272989.0000000077;2
Accepted-In Progress;1-327329880;15236.00000001354;3
Accepted-In Progress;1-327329880;1.880279839177775e-10;4
Completed-Closed;1-327329880;179423.99999999825;5
Accepted-In Progress;1-338946805;0.0;1
Accepted-In Progress;1-338946805;0.0;2
Completed-Closed;1-338946805;36796285.00000002;3
Accepted-In Progress;1-339798202;0.0;1
Accepted-In Progress;1-339798202;0.0;2
Completed-Closed;1-339798202;9662815.999999994;3
Accepted-In Progress;1-339889001;0.0;1
Accepted-In Progress;1-339889001;0.0;2
Completed-Closed;1-339889001;22147.99999999846;3
Accepted-In Progress;1-340984229;17570120.000000004;1
Accepted-Assigned;1-340984229;23.999999991429828;2
Completed-Closed;1-340984229;9767309.999999998;3
Accepted-Wait;1-341002175;471.0000000046886;1
Accepted-In Progress;1-341002175;3721182.9999999977;2
Completed-Closed;1-341002175;11667747.000000019;3
Accepted-In Progress;1-342442140;0.0;1
Completed-Closed;1-342442140;189.00000000604197;2
Accepted-In Progress;1-345255471;2164227.000000001;1
Queued-Awaiting Assignment;1-345255471;14495.00000004353;2
Queued-Awaiting Assignment;1-345255471;23.00000001627577;3
Accepted-In Progress;1-345255471;0.0;4
Completed-Closed;1-345255471;9.000000005477064;5
Accepted-In Progress;1-347461373;0.0;1
Accepted-In Progress;1-347461373;0.0;2
Completed-Closed;1-347461373;2238266.999999986;3
Accepted-In Progress;1-347923966;234024.00000000268;1
Accepted-Assigned;1-347923966;3.9999999891717533;2
Accepted-In Progress;1-347923966;409986.00000000646;3
Accepted-Assigned;1-347923966;73.99999999867323;4
Accepted-In Progress;1-347923966;6.236810890827614e-10;5
Completed-Closed;1-347923966;14.999999969006296;6
Accepted-In Progress;1-347924629;0.0;1
Accepted-Assigned;1-347924629;140.00000001969732;2
Accepted-Wait;1-347924629;1134785.0000000028;3
Completed-Closed;1-347924629;12321790.000000002;4
Accepted-In Progress;1-349857482;1263.000000006237;1
Completed-Closed;1-349857482;2637.0000000042187;2
Accepted-In Progress;1-351187625;12628599.000000004;1
Accepted-In Progress;1-351187625;256042.99999994857;2
Completed-Closed;1-351187625;2825104.0;3
Accepted-In Progress;1-351314317;0.0;1
Queued-Awaiting Assignment;1-351314317;100.9999999963632;2
Accepted-In Progress;1-351314317;3374025.0000000037;3
Accepted-Assigned;1-351314317;10711.000000013919;4
Accepted-In Progress;1-351314317;911989.9999999943;5
Completed-Closed;1-351314317;4744287.999999967;6
Accepted-In Progress;1-351869391;0.0;1
Accepted-In Progress;1-351869391;36647450.99999999;2
Completed-Closed;1-351869391;494.9999999983438;3
Queued-Awaiting Assignment;1-353818791;440.0000000817664;1
Accepted-In Progress;1-353818791;14329.000000001817;2
Queued-Awaiting Assignment;1-353818791;440.00000001031697;3
Accepted-In Progress;1-353818791;54453648.99999996;4
Completed-Closed;1-353818791;5968666.000000005;5
Accepted-In Progress;1-354039443;453.99999999957856;1
Accepted-In Progress;1-354039443;6568639.000000027;2
Accepted-Assigned;1-354039443;1189.999999988371;3
Accepted-In Progress;1-354039443;1220239.999999996;4
Completed-Closed;1-354039443;507462.99999999825;5
Accepted-In Progress;1-354350908;12445.000000015903;1
Accepted-In Progress;1-354350908;0.0;2
Accepted-In Progress;1-354350908;38531467.999999985;3
Completed-Closed;1-354350908;81883.00000000543;4
Accepted-In Progress;1-354376900;1412.9999999958013;1
Accepted-In Progress;1-354376900;4.274463649086871e-09;2
Accepted-In Progress;1-354376900;81569.00000001666;3
Completed-Closed;1-354376900;3109083.999999986;4
Accepted-In Progress;1-357087417;10936618.000000002;1
Queued-Awaiting Assignment;1-357087417;191.99999998356842;2
Accepted-In Progress;1-357087417;8.464496079301514e-09;3
Accepted-Assigned;1-357087417;31.000000018906277;4
Accepted-In Progress;1-357087417;14429233.0;5
Completed-Closed;1-357087417;1846.0000000101525;6
Accepted-In Progress;1-357610411;0.0;1
Accepted-Wait;1-357610411;1800944.0000000237;2
Completed-Closed;1-357610411;9767310.000000004;3
Accepted-In Progress;1-358776870;0.0;1
Accepted-Wait;1-358776870;50.00000000411524;2
Completed-Closed;1-358776870;40504728.99999999;3
Accepted-In Progress;1-359215498;65387006.000000015;1
Accepted-Assigned;1-359215498;104.99999998357066;2
Accepted-Assigned;1-359215498;11034.999999991154;3
Accepted-Wait;1-359215498;3192564.9999999744;4
Completed-Closed;1-359215498;10871265.0;5
Accepted-In Progress;1-359781492;1.2816980721558524e-08;1
Completed-Closed;1-359781492;166960.99999997683;2
Accepted-In Progress;1-360464815;8.000000002686303;1
Accepted-Wait;1-360464815;3018.9999999889856;2
Accepted-In Progress;1-360464815;0.0;3
Completed-Closed;1-360464815;22619478.000000004;4
Accepted-In Progress;1-360667704;8.530057311020732e-09;1
Accepted-Wait;1-360667704;3542903.9999999865;2
Completed-Closed;1-360667704;9153852.000000004;3
Accepted-In Progress;1-361368011;0.0;1
Accepted-In Progress;1-361368011;0.0;2
Completed-Closed;1-361368011;36127755.00000002;3
Accepted-In Progress;1-363041157;602880.0000000041;1
Completed-Closed;1-363041157;42.99999999177506;2
Accepted-In Progress;1-363549934;7353845.999999999;1
Queued-Awaiting Assignment;1-363549934;476.99999999298905;2
Accepted-In Progress;1-363549934;19271602.999999978;3
Accepted-Assigned;1-363549934;298.00000000262565;4
Accepted-In Progress;1-363549934;1.5369337087378607e-09;5
Completed-Closed;1-363549934;1205659.9999999788;6
Accepted-In Progress;1-364458525;8062551.000000003;1
Accepted-In Progress;1-364458525;7353845.999999999;2
Accepted-Wait;1-364458525;4219903.000000013;3
