Activity;Case ID;Duration;Event_Nr
Accepted-In Progress;1-165554831;333391.999999985;1
Accepted-Wait;1-165554831;661399.9999999857;2
Accepted-In Progress;1-165554831;0.0;3
Accepted-In Progress;1-165554831;41452056.99999999;4
Completed-Closed;1-165554831;735.9999999970952;5
Accepted-In Progress;1-172473423;0.0;1
Accepted-Wait;1-172473423;1.1322711208295785e-08;2
Accepted-In Progress;1-172473423;0.0;3
Accepted-In Progress;1-172473423;0.0;4
Completed-Closed;1-172473423;14.99999999908357;5
Accepted-In Progress;1-182640781;5.1124846737384016e-08;1
Accepted-Wait;1-182640781;274.9999999901517;2
Queued-Awaiting Assignment;1-182640781;591573.0000000081;3
Accepted-In Progress;1-182640781;6.203301524092252e-09;4
Accepted-Assigned;1-182640781;2926698.000000049;5
Accepted-In Progress;1-182640781;0.0;6
Completed-Closed;1-182640781;120.00000000153015;7
Accepted-In Progress;1-236817141;0.0;1
Accepted-Wait;1-236817141;9215140.000000024;2
Queued-Awaiting Assignment;1-236817141;564.9999999729868;3
Accepted-In Progress;1-236817141;801145.000000005;4
Accepted-Assigned;1-236817141;3.999999997717198;5
Accepted-In Progress;1-236817141;5285003.999999995;6
Completed-Closed;1-236817141;1.9999999822452268;7
Accepted-In Progress;1-270427461;3.248909912600442e-08;1
Accepted-Wait;1-270427461;18187.000000002092;2
Accepted-In Progress;1-270427461;2.578869695639648e-09;3
Accepted-In Progress;1-270427461;0.0;4
Completed-Closed;1-270427461;1.0000000046220974;5
Accepted-In Progress;1-310231291;1.578625423891458e-08;1
Accepted-In Progress;1-310231291;0.0;2
Completed-Closed;1-310231291;3621677.9999999674;3
Accepted-In Progress;1-320604521;4813143.999999987;1
Accepted-Assigned;1-320604521;66.999999967428;2
Completed-Closed;1-320604521;6723797.000000013;3
Accepted-In Progress;1-322581861;5104745.000000008;1
Accepted-Assigned;1-322581861;6250036.000000023;2
Completed-Closed;1-322581861;174.99999999603364;3
Accepted-In Progress;1-322980802;2541.9999999962165;1
Completed-Closed;1-322980802;42.99999999119198;2
Accepted-In Progress;1-323264491;7381.999999982556;1
Accepted-Assigned;1-323264491;15.00000000377771;2
Completed-Closed;1-323264491;508.9999999768241;3
Accepted-In Progress;1-327329880;13908741.999999983;1
Accepted-Wait;1-327329880;13812622.99999999;2
Accepted-In Progress;1-327329880;8045556.000000013;3
Accepted-In Progress;1-327329880;2.379337952960236e-09;4
Completed-Closed;1-327329880;22.00000001667395;5
Accepted-In Progress;1-338946805;4997.999999996849;1
Accepted-In Progress;1-338946805;1.4319958781393073e-09;2
Completed-Closed;1-338946805;1811351.000000009;3
Accepted-In Progress;1-339798202;37683738.0;1
Accepted-In Progress;1-339798202;37733580.000000015;2
Completed-Closed;1-339798202;1380935.0000000119;3
Accepted-In Progress;1-339889001;3.227751664689842e-08;1
Accepted-In Progress;1-339889001;0.0;2
Completed-Closed;1-339889001;689589.0000000012;3
Accepted-In Progress;1-340984229;0.0;1
Accepted-Assigned;1-340984229;15.00000000910255;2
Completed-Closed;1-340984229;266.00000000843164;3
Accepted-Wait;1-341002175;247.99999998917644;1
Accepted-In Progress;1-341002175;0.0;2
Completed-Closed;1-341002175;28509511.000000004;3
Accepted-In Progress;1-342442140;11256.999999984691;1
Completed-Closed;1-342442140;162181.99999998522;2
Accepted-In Progress;1-345255471;6.7125502972227635e-09;1
Queued-Awaiting Assignment;1-345255471;257.9999999997464;2
Queued-Awaiting Assignment;1-345255471;66.00000000220771;3
Accepted-In Progress;1-345255471;11214812.999999998;4
Completed-Closed;1-345255471;81.00000000115382;5
Accepted-In Progress;1-347461373;6487401.000000003;1
Accepted-In Progress;1-347461373;437840.0000000014;2
Completed-Closed;1-347461373;970363.0000000309;3
Accepted-In Progress;1-347923966;0.0;1
Accepted-Assigned;1-347923966;6072372.000000015;2
Accepted-In Progress;1-347923966;7.494004345981991e-09;3
Accepted-Assigned;1-347923966;361.00000002226983;4
Accepted-In Progress;1-347923966;1913185.9999999998;5
Completed-Closed;1-347923966;5604716.9999999935;6
Accepted-In Progress;1-347924629;4654642.000000001;1
Accepted-Assigned;1-347924629;45.00000001400982;2
Accepted-Wait;1-347924629;1362240.9999999702;3
Completed-Closed;1-347924629;75.99999998843899;4
Accepted-In Progress;1-349857482;4576504.000000011;1
Completed-Closed;1-349857482;19.00000002761854;2
Accepted-In Progress;1-351187625;0.0;1
Accepted-In Progress;1-351187625;0.0;2
Completed-Closed;1-351187625;132.99999997918238;3
Accepted-In Progress;1-351314317;91.00000000346772;1
Queued-Awaiting Assignment;1-351314317;2430.9999999969828;2
Accepted-In Progress;1-351314317;5446225.000000015;3
Accepted-Assigned;1-351314317;18.99999999970587;4
Accepted-In Progress;1-351314317;4485531.0;5
Completed-Closed;1-351314317;1821006.0000000072;6
Accepted-In Progress;1-351869391;0.0;1
